stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
"de:08125:4671:0:2","","Auenstein Eisenbahnstr. (Ersatz)","49.0582088","9.2793633","","","","0",""
"de:08125:4672:0:1","","Beilstein Langhans","49.0420593","9.3127537","","","","0",""
"de:08125:4672:0:2","","Beilstein Langhans","49.0420181","9.3128345","","","","0",""
"de:08125:4673:0:1","","Beilstein Apotheke","49.0396803","9.3156283","","","","0",""
"de:08125:4673:0:2","","Beilstein Apotheke","49.0395919","9.3158169","","","","0",""
"de:08125:4673:0:5","","Beilstein Apotheke","49.0387145","9.3163739","","","","0",""
"de:08125:4674:0:1","","Auenstein Feldweg (Ersatz)","49.059598","9.2977428","","","","0",""
"de:08125:4676:0:1","","Beilstein Breslauer Straße","49.0383906","9.3209104","","","","0",""
"de:08125:4676:0:2","","Beilstein Breslauer Straße","49.038373","9.3210092","","","","0",""
"de:08125:4677:0:1","","Beilstein Abzw. Schmidhausen","49.0391738","9.3298935","","","","0",""
"de:08125:4677:0:2","","Beilstein Abzw. Schmidhausen","49.0391738","9.3296689","","","","0",""
"de:08125:4678:0:1","","Schmidhausen Ort","49.040434","9.3316901","","","","0",""
"de:08125:4678:0:2","","Schmidhausen Ort","49.0409169","9.3321483","","","","0",""
"de:08125:4679:0:1","","Jettenbach Abzw. Jettenbach","49.0538349","9.344051","","","","0",""
"de:08125:4679:0:2","","Jettenbach Abzw. Jettenbach","49.0539114","9.3444462","","","","0",""
"de:08125:4680:0:1","","Jettenbach Ort","49.0541057","9.3482371","","","","0",""
"de:08125:4680:0:2","","Jettenbach Ort","49.0542411","9.3482012","","","","0",""
"de:08125:4681:0:1","","Klingen","49.0569903","9.3719975","","","","0",""
"de:08125:4681:0:2","","Klingen","49.0570079","9.3721053","","","","0",""
"de:08125:4682:0:1","","Beilstein Maad","49.0582206","9.359484","","","","0",""
"de:08125:4682:0:2","","Beilstein Maad","49.0581558","9.3595559","","","","0",""
"de:08125:4684:0:1","","Billensbach Ort","49.0619996","9.3668592","","","","0",""
"de:08125:4684:0:2","","Billensbach Ort","49.062035","9.366949","","","","0",""
"de:08125:4686:0:1","","Kaisersbach Ort","49.0674499","9.3780881","","","","0",""
"de:08125:4689:0:1","","Etzlenswenden","49.0745708","9.3731294","","","","0",""
"de:08125:4689:0:2","","Etzlenswenden","49.0745061","9.3730486","","","","0",""
"de:08125:4691:0:1","","Stocksberg Ort","49.0692155","9.408002","","","","0",""
"de:08125:4714:0:1","","Cleebr. Wildparadies Tripsdril","49.0306578","9.0529878","","","","0",""
"de:08125:4714:0:2","","Cleebr. Wildparadies Tripsdril","49.0306343","9.0529429","","","","0",""
"de:08125:4717:0:1","","Untereisesheim, Schafhaus","49.2146159","9.1988383","","","","0",""
"de:08125:4719:0:1","","Obereisesheim, Freibad","49.19287","9.2074531","","","","0",""
"de:08125:4719:0:2","","Obereisesheim, Freibad","49.1931694","9.206465","","","","0",""
"de:08125:4720:0:1","","Obereisesheim, Fuchshalde","49.199879","9.2039497","","","","0",""
"de:08125:4720:0:2","","Obereisesheim, Fuchshalde","49.1998438","9.2041024","","","","0",""
"de:08125:4741:0:1","","Lennach Kelter","49.1892125","9.3101575","","","","0",""
"de:08125:4878:0:1","","Siegelbach","49.3281082","9.3281059","","","","0",""
"de:08125:4879","","Neudenau Reichertshausen","49.3139382","9.3066092","","","","0",""
"de:08125:4880:0:1","","Möckmühl Grundschule","49.3230848","9.3583521","","","","0",""
"de:08125:4880:0:2","","Möckmühl Grundschule","49.3227686","9.3581276","","","","0",""
"de:08125:4880:0:3","","Möckmühl Grundschule","49.3228389","9.3581006","","","","0",""
"de:08125:4881:0:1","","Neudenau Grundschule","49.293232","9.2754826","","","","0",""
"de:08125:4888:0:1","","Gundelsheim, Kolpingstraße","49.2858495","9.1657533","","","","0",""
"de:08125:4892:0:1","","Fürfeld Industrie","49.2108485","9.0665164","","","","0",""
"de:08125:4892:0:2","","Fürfeld Industrie","49.2108426","9.0665703","","","","0",""
"de:08125:4900:0:1","","Möckmühl Hölderlinstraße","49.3197121","9.3550194","","","","0",""
"de:08125:4901:0:1","","Möckmühl Im Schlot","49.3226749","9.3449493","","","","0",""
"de:08125:4902:0:1","","Möckmühl Kindergarten","49.3214453","9.3529443","","","","0",""
"de:08125:4903:0:1","","Möckmühl Kreiskrankenhaus","49.3234536","9.3494498","","","","0",""
"de:08125:4903:0:2","","Möckmühl Kreiskrankenhaus","49.3231902","9.349378","","","","0",""
"de:08125:4904:0:1","","Möckmühl Roigheimer Straße","49.3257605","9.3585228","","","","0",""
"de:08125:4905:0:1","","Möckmühl Seniorenresidenz","49.3225754","9.3482191","","","","0",""
"de:08125:4906:0:1","","Möckmühl Brücke","49.3228213","9.3625922","","","","0",""
"de:08125:4907:0:1","","Möckmühl Lehlestraße","49.3211701","9.3690331","","","","0",""
"de:08125:4907:0:2","","Möckmühl Lehlestraße","49.3211701","9.3693475","","","","0",""
"de:08125:4908:0:1","","Möckmühl Schubertstraße","49.3225285","9.369069","","","","0",""
"de:08125:4909:0:1","","Möckmühl Vorstädtle","49.3180198","9.3723569","","","","0",""
"de:08125:4910:0:1","","Hagenbach","49.3532998","9.3795344","","","","0",""
"de:08125:4911:0:1","","Ruchsen","49.3188162","9.3789864","","","","0",""
