route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible
"hnv-31-647-1","Special#29","hnv-31-647-1-2-13-R-1-Special#29-30-15","hnv-31-647-1-2-13-R-1","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#29","hnv-31-647-1-2-13-R-1-Special#29-31-16","hnv-31-647-1-2-13-R-1","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#29","hnv-31-647-1-2-14-R-2-Special#29-11-17","hnv-31-647-1-2-14-R-2","Obergruppenbach","","1","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-7-R-3-Special#13-12-18","hnv-31-647-1-1-7-R-3","Obergruppenbach","","1","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-7-R-3-Special#13-13-19","hnv-31-647-1-1-7-R-3","Obergruppenbach","","1","","2"
"hnv-31-647-1","Special#30","hnv-31-647-1-1-13-R-4-Special#30-54-20","hnv-31-647-1-1-13-R-4","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#30","hnv-31-647-1-1-13-R-4-Special#30-24-21","hnv-31-647-1-1-13-R-4","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#30","hnv-31-647-1-1-13-R-4-Special#30-25-22","hnv-31-647-1-1-13-R-4","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#30","hnv-31-647-1-1-13-R-4-Special#30-15-23","hnv-31-647-1-1-13-R-4","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#30","hnv-31-647-1-1-13-R-4-Special#30-26-24","hnv-31-647-1-1-13-R-4","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#30","hnv-31-647-1-1-13-R-4-Special#30-28-25","hnv-31-647-1-1-13-R-4","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#30","hnv-31-647-1-1-13-R-4-Special#30-29-26","hnv-31-647-1-1-13-R-4","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#30","hnv-31-647-1-1-13-R-4-Special#30-30-27","hnv-31-647-1-1-13-R-4","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#30","hnv-31-647-1-1-13-R-4-Special#30-31-28","hnv-31-647-1-1-13-R-4","Untergruppenbach Rathaus","","1","","2"
"hnv-31-647-1","Special#30","hnv-31-647-1-1-14-R-5-Special#30-11-29","hnv-31-647-1-1-14-R-5","Obergruppenbach","","1","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-10-H-0-Special#13-1-30","hnv-31-647-1-1-10-H-0","Ellhofen","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-10-H-0-Special#13-16-31","hnv-31-647-1-1-10-H-0","Ellhofen","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-10-H-0-Special#13-17-32","hnv-31-647-1-1-10-H-0","Ellhofen","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-10-H-0-Special#13-19-33","hnv-31-647-1-1-10-H-0","Ellhofen","","0","","2"
